ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:1904888,cranial skeletal system development,62/3314,256/18773,0.2421875,1.371932993,2.77421554,0.004663371,0.094665177,0.083012816,mapre2/egr1/crispld2/usp18/tnfaip3/pard3ab/kat6a/cacna1c/spns2/dhrs9/nolc1/hdac4/irf6/pheta1/ep300b/gfpt1/cnbpa/rnf2/polr1d/edn1/disc1/jag1b/cfdp1/smo/gpatch3/bcl9/nipblb/psmd7/pbx4/hspg2/auts2a/rap1b/furina/mosmoa/vdrb/her6/caspa/aldh1l1/polr1a/wnt11/masp1/hand2/pygo2/wnt5b/tp73/usp36/pmm2/lrp5/mmachc/sumf1/itpr1b/nr1h3/fam20b/mia3/bptf/wdr43/prdm5/ptpn11b/sar1b/itga5/xylt1/sp7,62
MF,GO:0030170,pyridoxal phosphate binding,17/3228,51/18430,0.333333333,1.903139199,2.976090444,0.004664694,0.08952243,0.078876689,gcat/alas1/csad/sptlc2b/si:ch211-217a12.1/aadat/kynu/kyat3.2/cth/agxt2/pdxdc1/thnsl2/marc1/tat/alas2/got2a/got1,17
MF,GO:0070279,vitamin B6 binding,17/3228,51/18430,0.333333333,1.903139199,2.976090444,0.004664694,0.08952243,0.078876689,gcat/alas1/csad/sptlc2b/si:ch211-217a12.1/aadat/kynu/kyat3.2/cth/agxt2/pdxdc1/thnsl2/marc1/tat/alas2/got2a/got1,17
BP,GO:0043414,macromolecule methylation,24/3314,80/18773,0.3,1.699426675,2.902608804,0.00467671,0.094665177,0.083012816,prmt7/emg1/eef1akmt2/mettl5/ftsj3/dimt1l/nsun4/thumpd3/tfb1m/bud23/carm1l/mrm1/trmt1l/mettl22/nsun2/setd7/nop2/wdr6/trmt6/fbl/prmt6/tarbp1/mettl14/mepcea,24
BP,GO:0034655,nucleobase-containing compound catabolic process,70/3314,295/18773,0.237288136,1.344179291,2.758729304,0.004711658,0.094753278,0.083090073,enpp1/pde4ca/prkag2b/pde4bb/fitm2/zgc:162730/ybx1/zfp36l1a/tent5c/hk1/pum2/entpd1/supv3l1/fastk/slc38a9/endog/csdc2a/qkia/fastkd3/zgc:103586/cnot9/pkma/exosc2/rnaset2l/ythdf1/tent2/fastkd1/zc3h12ab/etf1b/eno1a/tbrg4/smg6/tent5ab/hkdc1/hk2/dis3/tent4a/plekhn1/polr2g/mrto4/nudt15/nudt3b/exosc8/exosc7/upf2/syncripl/mlycd/gpia/cdab/pnrc2/dctd/pfkpa/dffb/fxr2/entpd6/pgk1/upf3b/si:dkey-219c10.4/lsm7/aldoaa/rbm8a/ythdf2/dhtkd1/igf2bp3/mettl14/nudt4a/dffa/tent5ba/itpa/wdr82,70
BP,GO:0005996,monosaccharide metabolic process,29/3314,102/18773,0.284313725,1.610567764,2.862799901,0.0047631,0.095057096,0.083356493,nr4a1/pfkfb3/prkag2b/dcxr/pdk2a/hk1/pck1/g6pd/fggy/slc38a9/fbp2/pfkfb1/pdk4/hkdc1/hk2/cyp2r1/glb1l/g6pc1a.1/gpia/pfkpa/pmm2/galt/pdk1/h6pd/pgk1/khk/man2a2/rpia/fbp1a,29
BP,GO:0048705,skeletal system morphogenesis,58/3314,237/18773,0.244725738,1.386311493,2.771051629,0.004788152,0.095057096,0.083356493,mapre2/egr1/crispld2/pard3ab/kat6a/cacna1c/spns2/dhrs9/nolc1/gpc4/hdac4/irf6/ep300b/gfpt1/cnbpa/rnf2/polr1d/edn1/disc1/jag1b/smo/bcl9/atp2b1a/nipblb/pbx4/hspg2/auts2a/tsku/rap1b/furina/vdrb/caspa/bmp6/aldh1l1/polr1a/cdh2/ctsk/wnt11/hand2/pygo2/wnt5b/tp73/pmm2/lrp5/mmachc/nr1h3/fam20b/mia3/wdr43/prdm5/ptpn11b/bmp7b/ccdc57/sar1b/itga5/xylt1/sp7/mef2ca,58
BP,GO:0048863,stem cell differentiation,65/3314,271/18773,0.239852399,1.358705213,2.753935866,0.004862294,0.095317229,0.083584607,atf3/csf3a/csf3b/fosl2/f2r/si:dkey-49n23.1/sema3aa/pdcd2/pard3ab/kat6a/fgfr4/cdca7a/pum2/cxcl8a/tgfb3/mettl5/dhrs9/nusap1/hdac4/irf7/smyd5/cnbpa/rnf2/edn1/disc1/hdac1/smo/nop14/kctd15a/supt5h/rtf1/pbx4/hspg2/plcg1/nudt21/dlc/sema4ga/rap1b/ak2/mettl22/aldh1l1/polr1a/cdh2/dmxl2/f11r.1/sf3b1/ufl1/masp1/hand2/sf3a3/sh3pxd2aa/notch1b/tgfbr2b/lrp5/mych/nos1/wdr43/erbb3b/hif1ab/ret/gpr182/mib1/ythdf2/etsrp/wtip,65
BP,GO:0045494,photoreceptor cell maintenance,13/3314,35/18773,0.371428571,2.104052073,3.026932865,0.00486281,0.095317229,0.083584607,dram2b/ift74/nrf1/ift88/cdc42/usp45/exoc5/ift172/nxnl2/ift57/kif3a/syne2a/dctn2,13
BP,GO:0032868,response to insulin,18/3314,55/18773,0.327272727,1.853920009,2.936362299,0.004965534,0.096718601,0.084813483,slc2a1b/irs2b/socs1a/pck1/igf2b/pik3r1/irs4a/socs7/bcar3/grb10a/tns2a/pdk4/slc39a14/grb10b/lpin2/znf106a/rps6kb1b/khk,18
BP,GO:0009069,serine family amino acid metabolic process,10/3314,24/18773,0.416666667,2.360314826,3.087427897,0.005106335,0.098767279,0.086609989,agxtb/agxta/tha1/cbsb/psph/sephs3/cth/thnsl2/gcshb/amt,10
