ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0097485,neuron projection guidance,23/678,322/21022,0.071428571,2.214707122,4.009938393,0.000339629,0.027799259,0.025713818,ank3a/lama4/plxnb2b/hif1ab/scrib/npr1b/sema3aa/apc/tncb/neo1a/vegfaa/smo/sema3c/ppp1r12a/reep1/enah/pbx4/kif1b/mycbp2/stat3/myot/rbpms2b/si:dkey-49n23.1,23
BP,GO:0003015,heart process,18/678,225/21022,0.08,2.480471976,4.075815004,0.00038781,0.030609326,0.02831308,bin1b/trdn/smyd2b/parvb/ttn.2/lrrc39/ogdhb/mybpc3/si:dkey-28b4.8/alpk2/vegfaa/fbxo32/tnni2a.4/myot/tmem161b/rbpms2b/si:ch211-266g18.10/vcla,18
BP,GO:0031033,myosin filament organization,4/678,12/21022,0.333333333,10.3352999,5.905126843,0.000431668,0.032896052,0.03042826,eef2k/mef2d/ttn.2/ttn.1,4
BP,GO:0043242,negative regulation of protein-containing complex disassembly,9/678,72/21022,0.125,3.875737463,4.462177368,0.000496912,0.036605817,0.033859727,twf1b/rubcn/svila/apc/camsap2a/add3a/lmod2b/svilc/twf2b,9
BP,GO:0060415,muscle tissue morphogenesis,6/678,35/21022,0.171428571,5.315297092,4.664369008,0.000803938,0.057312985,0.053013488,fermt2/dpf3/lrrc39/mybpc3/myo18ab/fbxo32,6
BP,GO:0048644,muscle organ morphogenesis,6/678,36/21022,0.166666667,5.167649951,4.568788039,0.000938739,0.06483163,0.0599681,fermt2/dpf3/lrrc39/mybpc3/myo18ab/fbxo32,6
BP,GO:0055008,cardiac muscle tissue morphogenesis,5/678,25/21022,0.2,6.201179941,4.750251663,0.001068358,0.070781036,0.065471194,fermt2/dpf3/lrrc39/mybpc3/fbxo32,5
BP,GO:1903076,regulation of protein localization to plasma membrane,4/678,15/21022,0.266666667,8.268239921,5.140628575,0.001101922,0.070781036,0.065471194,camk2g1/cnstb/camk2b1/camk2g2,4
BP,GO:1901880,negative regulation of protein depolymerization,8/678,65/21022,0.123076923,3.816110733,4.151119243,0.001120967,0.070781036,0.065471194,twf1b/svila/apc/camsap2a/add3a/lmod2b/svilc/twf2b,8
BP,GO:0030032,lamellipodium assembly,5/678,26/21022,0.192307692,5.96267302,4.622292378,0.001287988,0.07865688,0.072756209,twf1b/parvb/ablim1b/arhgef6/twf2b,5
BP,GO:0050905,neuromuscular process,9/678,83/21022,0.108433735,3.36208551,3.936226245,0.001403216,0.07865688,0.072756209,tlcd3ba/eya4/reep1/erbb3b/mycbp2/tnni2a.4/tnnt1/mtmr14/cacna1da,9
BP,GO:1904375,regulation of protein localization to cell periphery,4/678,16/21022,0.25,7.751474926,4.931855338,0.001431989,0.07865688,0.072756209,camk2g1/cnstb/camk2b1/camk2g2,4
BP,GO:0045944,positive regulation of transcription by RNA polymerase II,25/678,402/21022,0.062189055,1.928227594,3.430413953,0.001433048,0.07865688,0.072756209,zgc:110158/mef2aa/mef2d/rxrba/dcaf6/stat5a/znf827/med25/mrtfbb/si:dkeyp-69b9.3/casz1/pprc1/ppardb/nr1d2b/tet1/cdk12/pbx4/nfatc1/ppargc1b/tead3a/smad2/rnf10/mef2cb/srfa/mkrn2,25
BP,GO:0099518,vesicle cytoskeletal trafficking,6/678,39/21022,0.153846154,4.770138416,4.302086792,0.001448903,0.07865688,0.072756209,synj1/pafah1b1b/ccdc186/kif13a/fyco1a/kif1b,6
