ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0031072,heat shock protein binding,19/3742,48/18430,0.395833333,1.949547924,3.324777381,0.001706343,0.037011387,0.032416235,dnajb12a/hspa8/dnaja2a/dnajb6b/cdc37l1/hikeshi/fkbp6/dnajc9/hspa13/ptges3a/dnajc2/dnaja1/stip1/hspa14/sacs/unc45a/dnaja3a/unc45b/tomm34,19
BP,GO:0050905,neuromuscular process,24/3864,65/18773,0.369230769,1.793884376,3.263997573,0.001737911,0.030620101,0.026276616,tnni2a.2/tnni2a.4/tnnt1/tnni2a.3/tnnc1a/ryr1a/casq1a/tnni1d/tcap/stac/smyhc2/opa3/snap29/trrap/reep1/cacna1da/agtpbp1/stx4/mao/zgc:153184/mycbp2/tnnc2.1/tnni4b.2/tnni1b,24
BP,GO:0048705,skeletal system morphogenesis,68/3864,237/18773,0.286919831,1.393981882,3.107362978,0.001745238,0.030620101,0.026276616,ahsa1a/chrna1/plxna3/notch2/ece1/rbm24a/rflnb/tinagl1/vgll2a/hdac4/pkn2a/sec23a/rflna/fras1/runx3/itga5/jag1b/ccdc57/lrp5/cxcr4a/mmp9/pmm2/mmp14b/hspg2/pkdccb/hoxc3a/ilvbl/disc1/gnptab/fsta/bicra/kif5ba/fn1a/kdm6a/dlx3b/rpl13/disp1/eif3ea/pard3ab/kat2a/crispld2/bcl9/pak1/ctsk/hoxa3a/hoxa4a/mia2/nog3/pitx2/shrprbck1r/tp73/ep300b/tln1/nr3c1/sec23b/smo/uts2r3/furina/hoxb3a/mmp14a/foxd3/chd5/tfap2a/hoxd3a/prdm5/htt/nipblb/hoxd4a,68
MF,GO:0019787,ubiquitin-like protein transferase activity,107/3742,406/18430,0.263546798,1.298013759,3.064750949,0.00175057,0.037087664,0.032483043,ube2l3b/lonrf4/trim55a/ube2d4/trim55b/marchf5l/ube3a/rnf115b/hectd3/zmiz2/dtx4b/mkrn1/fbxo40.2/si:ch211-59o9.10/chfr/rc3h1b/ube2g1b/fbxo40.1/ube2e1/znrf2b/nccrp1/ube3c/rnf19a/arih2/rbx1/rnf20/ufc1/sh3rf1/rbbp6/trim101/pdzrn3b/asb12b/ark2cb/ubr1/arih1/trim105/ube2al/ube2h/cdc34a/xiap/mylipa/ubr2/rnf38/rnf34b/lonrf1/rnft2/rnf40/ube2s/pias2/dtx2/ube4a/peli3/aktip/marchf8/ubr4/birc6/wdsub1/si:ch73-335l21.2/g2e3/fbxo30a/hectd1/ube2d2/amfra/rnf8/zgc:112970/ube2kb/shrprbck1r/ube2d3/cbx4/toporsa/trim3b/herc1/ankib1a/trim71/ube2c/ranbp2/dtx3lb.2/trim107/rnf146/maea/rmnd5b/ltn1/btr26/ankib1b/mdm4/hace1/rnf220a/trim37/trim44/rnf11a/rnf14/ark2n/dtx3lb.3/rc3h2/itcha/ubr5/mycbp2/fbxo2/ube4b/herc56.1/si:dkey-183c6.9/herc4/rnf181/ube2z/znf598/smurf1/nedd4a,107
MF,GO:0033549,MAP kinase phosphatase activity,11/3742,22/18430,0.5,2.462586852,3.464584413,0.001797534,0.037217134,0.032596438,dusp28/dusp8a/dusp1/si:ch211-195b15.8/dusp4/si:ch211-121a2.2/dusp6/si:ch211-223p8.8/dusp2/dusp10/dusp16,11
BP,GO:0042594,response to starvation,27/3864,76/18773,0.355263158,1.726023619,3.228651394,0.001797563,0.031361953,0.026913235,dap1b/prkag2b/wdr59/pck1/ulk2/gcn1/gabarapl2/bcas3/nprl2/rptor/kptn/sesn1/rragd/pak2b/pak1/wdr45b/nuak2/map1lc3c/atf4a/wdr45/seh1l/prkag3b/kics2/map1lc3b/becn1/lamp2/ulk3,27
CC,GO:0042383,sarcolemma,24/3989,65/19331,0.369230769,1.789320632,3.250284009,0.00180303,0.016102923,0.012860087,rtn2b/nos1/ryr1a/cacna2d1a/desma/anxa5b/stac/dag1/ank2b/ryr3/dmd/aqp4/fgf13a/sgcb/pleca/cacng6b/ilk/sgcg/sgce/cav2/cav1/sspn/atp1a1a.1/anxa6,24
BP,GO:0007219,Notch signaling pathway,41/3864,129/18773,0.317829457,1.544154349,3.157162869,0.001811058,0.031421862,0.026964646,notch2/her6/prss23/jag2b/dtx4b/llgl1/notch1b/jag1b/nlk1/pappa2/rab5c/kif3a/llgl2/ift88/chac1/id2a/cad/psenen/ptbp1a/dtx2/egfl6/notch3/zmp:0000001236/epas1b/hey1/srebf2/adam10a/bap1/mettl3/rfng/yjefn3/dtx3lb.2/uchl3/numbl/bloc1s2/dtx3lb.3/plvapb/foxc1a/maml1/lfng/nedd4a,41
BP,GO:0034504,protein localization to nucleus,25/3864,69/18773,0.362318841,1.760303208,3.221022032,0.001912048,0.032990754,0.028310989,nutf2/ipo9/nup93/tnpo3/rpain/ipo7/nkd1/nup62l/lmna/hikeshi/kpna4/cse1l/dclk3/nup133/kpna2/ipo13b/kpnb3/lmnb1/lmnl3/ranbp2/tmem147/dzip1/ipo8/nup88/lmnb2,25
BP,GO:0044057,regulation of system process,47/3864,153/18773,0.307189542,1.492460994,3.113703743,0.001943887,0.033355821,0.028624272,hhatla/fbxl22/adrb2a/tnnt1/trdn/rnf10/casq1a/casq2/hspb1/tbx2b/desma/tmem65/agtr1b/atpsckmt/emd/mcu/parvb/bnip3lb/vegfaa/scn4ba/ank2b/adma/lmna/wtip/mymk/dmd/tmem161b/adrb2b/tafazzin/vdac2/vcana/plcg1/si:ch211-225p5.8/tnnt2c/atp2a1/atp2a2b/atp2a2a/erp44/vapb/ilk/si:dkey-28b4.8/kcne4/atp1a1a.1/melk/avpr2ab/grk3/skia,47
BP,GO:0022411,cellular component disassembly,49/3864,161/18773,0.304347826,1.478654694,3.105190959,0.001961522,0.033474492,0.028726109,zgc:136908/rubcn/dyrk3/lmod3/capza1a/plk3/mical2b/twf2b/napab/nemp1/svila/pcf11/gabarapl2/sptb/add3a/nsfa/rack1/si:ch211-266i6.3/scaf4a/atp6v0a1a/tfip11/ccsapb/spns1/nckap5l/gsna/vcp/gfm2/add2/mrpl58/ascc3/sh3gl1b/map1lc3c/ogfod1/scinlb/endog/ufsp2/dffb/lmod2b/ltn1/rnf14/map1lc3b/eif5a/lamp2/mtrfr/znf598/cfl1l/sptan1/capza1b/lix1l,49
MF,GO:0003724,RNA helicase activity,25/3742,70/18430,0.357142857,1.758990609,3.211223463,0.001973114,0.038348054,0.033586949,ddx21/ddx19b/ddx17/ddx39b/eif4a2/ddx6/ifih1/helz2a/ddx39ab/upf1/ddx28/ddx31/dhx30/dhx29/ddx59/tdrd9/ascc3/ddx10/ddx24/ddx18/ddx61/eif4a1a/ddx23/ythdc2/supv3l1,25
MF,GO:0008186,"ATP-dependent activity, acting on RNA",25/3742,70/18430,0.357142857,1.758990609,3.211223463,0.001973114,0.038348054,0.033586949,ddx21/ddx19b/ddx17/ddx39b/eif4a2/ddx6/ifih1/helz2a/ddx39ab/upf1/ddx28/ddx31/dhx30/dhx29/ddx59/tdrd9/ascc3/ddx10/ddx24/ddx18/ddx61/eif4a1a/ddx23/ythdc2/supv3l1,25
BP,GO:1905952,regulation of lipid localization,10/3864,19/18773,0.526315789,2.557072028,3.456910389,0.001976536,0.033547401,0.028788676,pparaa/zgc:77486/zdhhc8b/srebf2/abca1a/npc1/plin2/acsl5/yjefn3/ppardb,10
