ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0042273,ribosomal large subunit biogenesis,6/726,51/18773,0.117647059,3.042132556,2.928963573,0.013443053,0.355305731,0.34311274,rpl35a/rpl14/rpl35/rpl26/las1l/rpl5a,6
BP,GO:0048821,erythrocyte development,6/726,51/18773,0.117647059,3.042132556,2.928963573,0.013443053,0.355305731,0.34311274,rps29/sec23b/hmgcs1/tp53/rps19/adnp2b,6
BP,GO:0050727,regulation of inflammatory response,7/726,66/18773,0.106060606,2.742528592,2.844270398,0.013557132,0.355305731,0.34311274,spint1a/grna/cxcl8a/dpp9/brd4/nr1h5/ptger4b,7
BP,GO:0060249,anatomical structure homeostasis,9/726,98/18773,0.091836735,2.374725923,2.736654231,0.013581546,0.355305731,0.34311274,her9/dot1l/ezh2/sulf1/tp53/notch3/syne2a/cdipt/fras1,9
BP,GO:0031099,regeneration,16/726,225/18773,0.071111111,1.838800122,2.538763668,0.01434046,0.357558835,0.345288525,myog/junbb/chd4a/igfbp1a/dspb/mycb/ezh2/tgif1/serpinh1b/inhbaa/apoda.1/fignl2/adamts9/apoda.2/anxa1a/six3b,16
CC,GO:0031966,mitochondrial membrane,26/745,426/19331,0.061032864,1.583659451,2.438805007,0.014549804,0.267472083,0.255059683,slc25a47a/rpl37/atp5f1e/slc25a55a/atp5meb/zdhhc8b/cox6c/pam16/plekhn1/mfn1b/tomm7/cox7b/slc25a25a/atp5mea/ndufb3/tmem65/spata18/gpam/coq10b/cyp11c1/cox7c/rps6kb1b/slc25a12/armc1/timm8b/hk1,26
BP,GO:0042274,ribosomal small subunit biogenesis,7/726,67/18773,0.104477612,2.701595329,2.798493452,0.014649669,0.357558835,0.345288525,lsm6/wdr75/rps15a/rps27.2/rps19/rps16/rps21,7
BP,GO:0042026,protein refolding,4/726,25/18773,0.16,4.137300275,3.14825349,0.014690778,0.357558835,0.345288525,hsp70.3/dnaja1/hspa5/hspb9,4
BP,GO:2000026,regulation of multicellular organismal development,27/726,446/18773,0.060538117,1.56540229,2.423820067,0.014831473,0.357558835,0.345288525,p2ry12/her9/her6/gbx1/esrra/vegfaa/hey1/errfi1a/daam2/etsrp/aplnrb/ezh2/grna/mafgb/tp53/rbms3/klf17/brd4/uba2/phf6/csf3r/notch3/irf2bp2b/ankhb/rps19/rin2a/dbnlb,27
BP,GO:0034204,lipid translocation,5/726,38/18773,0.131578947,3.402385095,2.973230973,0.014891283,0.357558835,0.345288525,atp10b/atp8b1/mfsd2ab/tmem30b/xkr8.3,5
BP,GO:0042254,ribosome biogenesis,16/726,226/18773,0.07079646,1.830663839,2.519786601,0.014900982,0.357558835,0.345288525,rpl35a/rpl14/rpl35/lsm6/wdr75/rps15a/rpl26/rps27.2/rps19/las1l/mrm1/si:dkey-251i10.3/rps16/rps21/rpl5a/ddx31,16
CC,GO:0032039,integrator complex,3/745,14/19331,0.214285714,5.56021093,3.417277177,0.015099231,0.267472083,0.255059683,ints6/ints5/ints1,3
BP,GO:0040037,negative regulation of fibroblast growth factor receptor signaling pathway,3/726,14/18773,0.214285714,5.541027155,3.409057677,0.015238667,0.357558835,0.345288525,spry4/sulf1/churc1,3
BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,3/726,14/18773,0.214285714,5.541027155,3.409057677,0.015238667,0.357558835,0.345288525,tp53/hipk1a/cd74a,3
BP,GO:0045646,regulation of erythrocyte differentiation,3/726,14/18773,0.214285714,5.541027155,3.409057677,0.015238667,0.357558835,0.345288525,p2ry12/klf17/rps19,3
BP,GO:0050679,positive regulation of epithelial cell proliferation,3/726,14/18773,0.214285714,5.541027155,3.409057677,0.015238667,0.357558835,0.345288525,vegfaa/aplnrb/egfra,3
BP,GO:0031032,actomyosin structure organization,13/726,171/18773,0.076023392,1.965822499,2.54470022,0.015676035,0.364067909,0.351574227,hsp90aa1.1/unc45b/cxcr4a/actn2b/ttn.2/flncb/ppp2r3a/myo18ab/tesk1a/rock2a/lmod2b/rhoab/vcp,13
BP,GO:0009266,response to temperature stimulus,6/726,53/18773,0.113207547,2.927335101,2.818144887,0.016066352,0.369363799,0.356688379,hsp90aa1.1/dnaja1/dhx30/per1b/hspb9/gclc,6
BP,GO:0061077,chaperone-mediated protein folding,5/726,39/18773,0.128205128,3.315144452,2.902793976,0.016552537,0.375828733,0.362931456,hsp70.3/unc45b/hspa5/dnajb1b/dnajb4,5
BP,GO:0055002,striated muscle cell development,15/726,210/18773,0.071428571,1.847009052,2.475681039,0.016755898,0.375828733,0.362931456,hsp90aa1.1/unc45b/myod1/myog/spry4/cxcr4a/actn2b/myorg/ttn.2/flncb/ppp2r3a/myo18ab/lmod2b/smpx/vcp,15
MF,GO:0046906,tetrapyrrole binding,13/715,172/18430,0.075581395,1.94820296,2.509991532,0.016762351,0.541134604,0.522985542,soul2/tcnba/ptgis/mpx/cyp24a1/cyp4v2a/cyp2x9/si:ch211-5k11.8/fa2h/cyp11c1/hbae1.2/hbbe2/cyp2y3,13
BP,GO:0022600,digestive system process,4/726,26/18773,0.153846154,3.978173342,3.047837654,0.01684294,0.375828733,0.362931456,f11r.1/dot1l/tp53/cdipt,4
BP,GO:0030239,myofibril assembly,10/726,119/18773,0.084033613,2.172951825,2.574475385,0.017087011,0.377573179,0.364616038,hsp90aa1.1/unc45b/cxcr4a/actn2b/ttn.2/flncb/ppp2r3a/myo18ab/lmod2b/vcp,10
MF,GO:0015179,L-amino acid transmembrane transporter activity,7/715,69/18430,0.101449275,2.614979224,2.700080095,0.017285702,0.541134604,0.522985542,slc38a2/slc25a55a/slc43a2b/slc25a15b/slc38a4/slc25a29/slc25a12,7
CC,GO:0031674,I band,7/745,70/19331,0.1,2.594765101,2.676131343,0.017999533,0.271376644,0.258783047,hsp90aa1.1/unc45b/bag3/actn2b/pdlim1/pdlim2/rtn2a,7
CC,GO:0030057,desmosome,3/745,15/19331,0.2,5.189530201,3.249776199,0.018342573,0.271376644,0.258783047,si:ch73-74h11.1/dspb/dsc2l,3
CC,GO:0031941,filamentous actin,3/745,15/19331,0.2,5.189530201,3.249776199,0.018342573,0.271376644,0.258783047,pdlim1/pdlim2/specc1,3
BP,GO:0034767,positive regulation of monoatomic ion transmembrane transport,3/726,15/18773,0.2,5.171625344,3.241744144,0.018510196,0.392598978,0.379126198,aplnrb/wnk1a/fxyd6l,3
BP,GO:0035907,dorsal aorta development,3/726,15/18773,0.2,5.171625344,3.241744144,0.018510196,0.392598978,0.379126198,vegfaa/amotl2a/notch3,3
BP,GO:0060837,blood vessel endothelial cell differentiation,3/726,15/18773,0.2,5.171625344,3.241744144,0.018510196,0.392598978,0.379126198,etsrp/stab2/notch3,3
BP,GO:1904064,positive regulation of cation transmembrane transport,3/726,15/18773,0.2,5.171625344,3.241744144,0.018510196,0.392598978,0.379126198,aplnrb/wnk1a/fxyd6l,3
MF,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",7/715,70/18430,0.1,2.577622378,2.656740076,0.018585421,0.541134604,0.522985542,tgm2b/hdac9b/upb1/hdac4/asah1b/sirt5/aspg,7
BP,GO:0032870,cellular response to hormone stimulus,16/726,232/18773,0.068965517,1.783319084,2.407893071,0.018629477,0.392598978,0.379126198,nr4a1/nr4a3/znf106a/esrra/tgif1/thrb/pik3r3b/ssr4/cyp11c1/anxa1a/ssr1/rps6kb1b/gsk3ba/nr1d2b/serpinc1/ptger4b,16
CC,GO:0030017,sarcomere,11/745,139/19331,0.079136691,2.053411231,2.495435355,0.018761361,0.271376644,0.258783047,hsp90aa1.1/unc45b/bag3/actn2b/ttn.2/abrab/pdlim1/pdlim2/lmod2b/smpx/rtn2a,11
CC,GO:0031672,A band,4/745,27/19331,0.148148148,3.844096445,2.960762995,0.018967185,0.271376644,0.258783047,hsp90aa1.1/unc45b/ttn.2/smpx,4
BP,GO:0045446,endothelial cell differentiation,6/726,55/18773,0.109090909,2.820886551,2.712411553,0.019023286,0.393319885,0.379822366,f11r.1/etsrp/stab2/amotl2a/notch3/fbn2b,6
BP,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,4/726,27/18773,0.148148148,3.830833588,2.952317016,0.019182121,0.393319885,0.379822366,znf703/skila/tgif1/rbms3,4
BP,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,4/726,27/18773,0.148148148,3.830833588,2.952317016,0.019182121,0.393319885,0.379822366,znf703/skila/tgif1/rbms3,4
MF,GO:0015171,amino acid transmembrane transporter activity,10/715,121/18430,0.082644628,2.130266428,2.505962273,0.019357217,0.541134604,0.522985542,slc38a2/slc25a55a/slc43a2b/slc25a15b/slc6a8/slc38a4/si:ch211-251b21.1/slc25a29/slc6a11a/slc25a12,10
BP,GO:0031589,cell-substrate adhesion,10/726,122/18773,0.081967213,2.119518584,2.488176795,0.019993958,0.406305796,0.392362641,lpxn/mslna/epd/vegfaa/lurap1/epdl1/myo18ab/ccdc80/zmp:0000001082/macf1a,10
BP,GO:0097035,regulation of membrane lipid distribution,5/726,41/18773,0.12195122,3.153430088,2.76854575,0.020233921,0.407543401,0.393557775,atp10b/atp8b1/mfsd2ab/tmem30b/xkr8.3,5
BP,GO:0046034,ATP metabolic process,8/726,88/18773,0.090909091,2.350738793,2.547341857,0.020486939,0.408340787,0.394327797,atp5f1e/atp5meb/eno1b/atp5mea/aldob/ak4/pklr/hk1,8
BP,GO:0042462,eye photoreceptor cell development,6/726,56/18773,0.107142857,2.770513577,2.661314675,0.020632333,0.408340787,0.394327797,odc1/her9/grna/thrb/dhdds/sox11a,6
CC,GO:0005791,rough endoplasmic reticulum,4/745,28/19331,0.142857143,3.706807287,2.869624319,0.02147118,0.294738446,0.281060714,rps29/sec61a1a/rps21/rpl27,4
BP,GO:0032474,otolith morphogenesis,4/726,28/18773,0.142857143,3.694018103,2.861263646,0.021712345,0.416442927,0.402151897,epcam/daw1/wwc1/sparc,4
BP,GO:0051085,chaperone cofactor-dependent protein refolding,4/726,28/18773,0.142857143,3.694018103,2.861263646,0.021712345,0.416442927,0.402151897,hsp70.3/hspa5/dnajb1b/dnajb4,4
MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",8/715,89/18430,0.08988764,2.316963935,2.5020196,0.022138411,0.541134604,0.522985542,ddit3/sox4b/grhl3/sox18/rreb1a/sox3/znf1035/sox11a,8
BP,GO:0030497,fatty acid elongation,3/726,16/18773,0.1875,4.84839876,3.088726415,0.02213954,0.416442927,0.402151897,elovl6/elovl5/elovl1a,3
BP,GO:0035336,long-chain fatty-acyl-CoA metabolic process,3/726,16/18773,0.1875,4.84839876,3.088726415,0.02213954,0.416442927,0.402151897,elovl6/elovl5/elovl1a,3
BP,GO:0043162,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,3/726,16/18773,0.1875,4.84839876,3.088726415,0.02213954,0.416442927,0.402151897,pdcd7/ubap1lb/vps36,3
BP,GO:1901570,fatty acid derivative biosynthetic process,3/726,16/18773,0.1875,4.84839876,3.088726415,0.02213954,0.416442927,0.402151897,elovl6/elovl5/elovl1a,3
CC,GO:0005882,intermediate filament,7/745,73/19331,0.095890411,2.488130918,2.550339961,0.022184614,0.294738446,0.281060714,ppl/krt92/krt4/krt97/si:dkey-222f2.1/evpla/macf1a,7
MF,GO:0004953,icosanoid receptor activity,3/715,16/18430,0.1875,4.833041958,3.081504617,0.022323613,0.541134604,0.522985542,ltb4r2b/ptger1a/ptger4b,3
MF,GO:0042805,actinin binding,3/715,16/18430,0.1875,4.833041958,3.081504617,0.022323613,0.541134604,0.522985542,pkd2l1/pdlim1/pdlim2,3
MF,GO:0004866,endopeptidase inhibitor activity,10/715,124/18430,0.080645161,2.078727724,2.421359542,0.02254683,0.541134604,0.522985542,a2ml/spint1a/serpinb1l1/serpinh1b/cst14a.1/c3b.1/itih2/spint1b/cst3/serpinc1,10
MF,GO:0051087,protein-folding chaperone binding,6/715,57/18430,0.105263158,2.713286713,2.602620012,0.022637366,0.541134604,0.522985542,dnaja1/dnajb1b/dnajb4/bag3/dnajc3b/dnajb9a,6
BP,GO:0002831,regulation of response to biotic stimulus,9/726,107/18773,0.08411215,2.174982621,2.444661738,0.022869569,0.426648685,0.412007425,tlr9/tlr18/pik3r6b/irf1b/mapkapk3/slc15a2/zdhhc5a/rps19/egln3,9
BP,GO:0007160,cell-matrix adhesion,8/726,90/18773,0.088888889,2.298500153,2.476629416,0.023121523,0.427842173,0.413159956,mslna/epd/vegfaa/lurap1/epdl1/myo18ab/zmp:0000001082/macf1a,8
BP,GO:0051726,regulation of cell cycle,27/726,465/18773,0.058064516,1.501439616,2.196067783,0.023923309,0.435813123,0.420857368,jun/jund/plk3/rps29/ddit3/ccnf/junbb/dot1l/rpl36/rpl35/rpl36a/cables2a/gadd45aa/rps18/tp53/gadd45ab/rab25b/rps15a/cdkn1d/timeless/gadd45bb/rock2a/junba/ccnd1/nabp1a/pim3/rpl23a,27
