ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
MF,GO:0008276,protein methyltransferase activity,0.040963343,NA,NA,NA,NA,NA
BP,GO:0030641,regulation of cellular pH,0.04097548,NA,NA,NA,NA,NA
BP,GO:0033365,protein localization to organelle,0.041228752,NA,NA,1.21107e-4,0.027099312,NA
CC,GO:0005643,nuclear pore,0.041974689,NA,NA,NA,NA,NA
BP,GO:0001885,endothelial cell development,0.042229691,NA,0.005875535,NA,NA,NA
BP,GO:0044458,motile cilium assembly,0.042229691,NA,0.005875535,NA,NA,NA
BP,GO:0051588,regulation of neurotransmitter transport,0.042229691,NA,NA,NA,NA,NA
BP,GO:0097581,lamellipodium organization,0.042229691,NA,0.005875535,NA,NA,NA
BP,GO:0110020,regulation of actomyosin structure organization,0.042229691,NA,NA,NA,NA,NA
MF,GO:0004402,histone acetyltransferase activity,0.042939013,NA,NA,NA,NA,NA
BP,GO:0001738,morphogenesis of a polarized epithelium,0.043044279,NA,0.001662825,NA,NA,NA
BP,GO:0001964,startle response,0.043044279,NA,0.011139607,NA,NA,NA
BP,GO:0019432,triglyceride biosynthetic process,0.043044279,NA,NA,NA,NA,NA
BP,GO:0032482,Rab protein signal transduction,0.043044279,NA,NA,NA,NA,0.032497454
BP,GO:0043173,nucleotide salvage,0.043044279,NA,NA,NA,NA,NA
BP,GO:0046460,neutral lipid biosynthetic process,0.043044279,NA,NA,NA,NA,NA
BP,GO:0046463,acylglycerol biosynthetic process,0.043044279,NA,NA,NA,NA,NA
BP,GO:0051125,regulation of actin nucleation,0.043044279,NA,NA,NA,NA,NA
BP,GO:0051646,mitochondrion localization,0.043044279,NA,NA,NA,NA,NA
CC,GO:0031248,protein acetyltransferase complex,0.043072647,0.005601522,NA,2.63e-5,0.025502666,NA
CC,GO:1902493,acetyltransferase complex,0.043072647,0.005601522,NA,2.63e-5,0.025502666,NA
BP,GO:0120031,plasma membrane bounded cell projection assembly,0.04354825,NA,NA,NA,NA,NA
BP,GO:0008380,RNA splicing,0.044279927,0.001514672,NA,3.05e-5,3.11995e-4,NA
BP,GO:0022411,cellular component disassembly,0.044410471,NA,NA,0.009137308,0.025921817,NA
BP,GO:0090497,mesenchymal cell migration,0.044728615,0.047291488,0.010511218,0.025316561,NA,NA
CC,GO:0032589,neuron projection membrane,0.045002041,NA,NA,NA,NA,NA
BP,GO:0032886,regulation of microtubule-based process,0.045065194,NA,0.016298788,NA,NA,NA
BP,GO:0032880,regulation of protein localization,0.045070674,0.006176119,NA,NA,NA,NA
CC,GO:0031209,SCAR complex,0.046303356,NA,NA,NA,NA,NA
MF,GO:0051213,dioxygenase activity,0.046446653,NA,NA,NA,NA,NA
BP,GO:0030010,establishment of cell polarity,0.047071003,NA,3.17949e-4,NA,NA,NA
CC,GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,0.047206157,NA,NA,NA,NA,NA
CC,GO:0098791,Golgi apparatus subcompartment,0.047290842,0.045358106,0.028689961,NA,NA,NA
MF,GO:0031267,small GTPase binding,0.047567239,NA,NA,NA,NA,NA
BP,GO:0051493,regulation of cytoskeleton organization,0.047651047,NA,NA,NA,NA,NA
CC,GO:0090576,RNA polymerase III transcription regulator complex,0.048316487,NA,NA,NA,NA,NA
BP,GO:0003157,endocardium development,0.048612094,0.029926406,0.024658421,NA,NA,NA
BP,GO:0006488,dolichol-linked oligosaccharide biosynthetic process,0.048612094,0.029926406,NA,NA,NA,NA
BP,GO:0016237,microautophagy,0.048612094,NA,NA,NA,NA,0.023486235
BP,GO:0031641,regulation of myelination,0.048612094,NA,NA,NA,NA,NA
BP,GO:0034727,piecemeal microautophagy of the nucleus,0.048612094,NA,NA,NA,NA,0.023486235
BP,GO:0036010,protein localization to endosome,0.048612094,0.029926406,NA,NA,NA,NA
BP,GO:0048268,clathrin coat assembly,0.048612094,0.00578197,0.003281569,NA,NA,NA
BP,GO:0060384,innervation,0.048612094,NA,0.024658421,NA,NA,NA
BP,GO:0001822,kidney development,0.048672129,NA,NA,NA,NA,NA
BP,GO:0016042,lipid catabolic process,0.048912385,NA,NA,NA,0.005181942,NA
CC,GO:0030496,midbody,0.049452902,NA,NA,NA,NA,NA
BP,GO:0051028,mRNA transport,0.049474398,NA,NA,9.26109e-4,NA,NA
BP,GO:0030317,flagellated sperm motility,0.049898814,NA,NA,NA,NA,NA
BP,GO:0006497,protein lipidation,0.049951208,NA,NA,NA,NA,NA
BP,GO:0019226,transmission of nerve impulse,NA,5.78e-5,0.006690492,NA,NA,NA
BP,GO:0019228,neuronal action potential,NA,6.19781e-4,0.0026256,NA,NA,NA
BP,GO:0070588,calcium ion transmembrane transport,NA,7.86145e-4,0.004557117,NA,NA,NA
CC,GO:0044545,NSL complex,NA,0.00103953,NA,NA,NA,NA
BP,GO:0086010,membrane depolarization during action potential,NA,0.001208275,0.004040812,NA,NA,NA
MF,GO:0005248,voltage-gated sodium channel activity,NA,0.001491586,4.91e-5,NA,NA,NA
BP,GO:0070509,calcium ion import,NA,0.001708638,NA,NA,NA,NA
BP,GO:0006816,calcium ion transport,NA,0.002164784,0.013112962,NA,NA,NA
MF,GO:0005261,monoatomic cation channel activity,NA,0.002494285,0.049177338,NA,NA,NA
BP,GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,NA,0.002875615,0.04167349,NA,NA,NA
CC,GO:0005891,voltage-gated calcium channel complex,NA,0.00297475,0.010057056,NA,NA,NA
MF,GO:0099095,ligand-gated monoatomic anion channel activity,NA,0.003011218,NA,NA,NA,NA
BP,GO:0035088,establishment or maintenance of apical/basal cell polarity,NA,0.003429703,0.045312395,NA,NA,NA
BP,GO:0061245,establishment or maintenance of bipolar cell polarity,NA,0.003429703,0.045312395,NA,NA,NA
BP,GO:0097553,calcium ion transmembrane import into cytosol,NA,0.004388977,NA,NA,NA,NA
MF,GO:0008187,poly-pyrimidine tract binding,NA,0.004436576,NA,NA,NA,NA
MF,GO:0050291,sphingosine N-acyltransferase activity,NA,0.004436576,NA,NA,NA,NA
BP,GO:0016203,muscle attachment,NA,0.004716031,NA,NA,NA,NA
CC,GO:0098533,ATPase dependent transmembrane transport complex,NA,0.005082628,NA,NA,NA,NA
BP,GO:0009101,glycoprotein biosynthetic process,NA,0.00516771,4.96125e-4,NA,NA,NA
MF,GO:0050660,flavin adenine dinucleotide binding,NA,0.005391645,NA,NA,NA,NA
BP,GO:0045022,early endosome to late endosome transport,NA,0.00555785,NA,NA,NA,NA
BP,GO:0098927,vesicle-mediated transport between endosomal compartments,NA,0.00555785,NA,NA,NA,NA
BP,GO:0050801,monoatomic ion homeostasis,NA,0.005582111,0.002722283,NA,NA,NA
MF,GO:0005262,calcium channel activity,NA,0.005801037,0.006566199,NA,NA,NA
BP,GO:0006873,intracellular monoatomic ion homeostasis,NA,0.006203459,0.004378459,NA,NA,NA
BP,GO:0030003,intracellular monoatomic cation homeostasis,NA,0.006203459,0.004378459,NA,NA,NA
MF,GO:0008143,poly(A) binding,NA,0.006907352,NA,NA,NA,NA
BP,GO:0006874,intracellular calcium ion homeostasis,NA,0.007172896,0.020349838,NA,NA,NA
MF,GO:0071949,FAD binding,NA,0.007862337,NA,NA,NA,NA
CC,GO:0016010,dystrophin-associated glycoprotein complex,NA,0.00844962,NA,NA,NA,NA
CC,GO:0090665,glycoprotein complex,NA,0.00844962,NA,NA,NA,NA
CC,GO:0034703,cation channel complex,NA,0.008557997,0.00323874,NA,NA,NA
CC,GO:0090533,cation-transporting ATPase complex,NA,0.008702495,NA,NA,NA,NA
MF,GO:0008331,high voltage-gated calcium channel activity,NA,0.008712607,NA,NA,NA,NA
MF,GO:0015085,calcium ion transmembrane transporter activity,NA,0.009038745,0.010681917,NA,NA,NA
BP,GO:0044093,positive regulation of molecular function,NA,0.009194605,NA,NA,NA,NA
BP,GO:0031399,regulation of protein modification process,NA,0.009324075,NA,NA,NA,NA
BP,GO:0072114,pronephros morphogenesis,NA,0.009524219,NA,NA,NA,NA
CC,GO:0033176,proton-transporting V-type ATPase complex,NA,0.009821019,NA,NA,NA,NA
BP,GO:0001508,action potential,NA,0.009836898,0.048232161,NA,NA,NA
MF,GO:0032934,sterol binding,NA,0.009972391,NA,NA,NA,NA
BP,GO:1902532,negative regulation of intracellular signal transduction,NA,0.010276353,NA,0.00681063,NA,0.007670611
BP,GO:0055082,intracellular chemical homeostasis,NA,0.010280274,0.003460674,NA,NA,NA
BP,GO:0009100,glycoprotein metabolic process,NA,0.010329703,6.04e-5,NA,NA,NA
BP,GO:0055080,monoatomic cation homeostasis,NA,0.010777808,0.005547673,NA,NA,NA
MF,GO:0070717,poly-purine tract binding,NA,0.010819175,NA,NA,NA,NA
BP,GO:0042391,regulation of membrane potential,NA,0.011129417,NA,NA,NA,NA
BP,GO:0019725,cellular homeostasis,NA,0.011503928,0.019100526,NA,NA,NA
BP,GO:0007214,gamma-aminobutyric acid signaling pathway,NA,0.011593009,0.005897222,NA,NA,NA
BP,GO:0006487,protein N-linked glycosylation,NA,0.012419296,NA,0.011643715,NA,NA
BP,GO:0046513,ceramide biosynthetic process,NA,0.012964006,NA,NA,NA,NA
MF,GO:0035250,UDP-galactosyltransferase activity,NA,0.013248421,0.041333924,NA,NA,NA
BP,GO:0001932,regulation of protein phosphorylation,NA,0.013886342,NA,NA,NA,NA
BP,GO:0019395,fatty acid oxidation,NA,0.013886342,NA,0.047682466,NA,NA
BP,GO:0060341,regulation of cellular localization,NA,0.013900072,NA,NA,NA,NA
BP,GO:0007040,lysosome organization,NA,0.014713701,NA,NA,NA,NA
BP,GO:0080171,lytic vacuole organization,NA,0.014713701,NA,NA,NA,NA
MF,GO:0005225,volume-sensitive anion channel activity,NA,0.014816331,NA,NA,NA,NA
BP,GO:0019220,regulation of phosphate metabolic process,NA,0.014934674,NA,0.008072487,NA,NA
BP,GO:0051174,regulation of phosphorus metabolic process,NA,0.014934674,NA,0.008072487,NA,NA
CC,GO:0032281,AMPA glutamate receptor complex,NA,0.014974037,NA,NA,NA,NA
CC,GO:0032580,Golgi cisterna membrane,NA,0.01503853,0.010384632,NA,NA,NA
MF,GO:0022832,voltage-gated channel activity,NA,0.015441946,NA,NA,NA,NA
CC,GO:0001518,voltage-gated sodium channel complex,NA,0.015630741,0.007793734,NA,NA,NA
BP,GO:0000245,spliceosomal complex assembly,NA,0.016820256,0.013289235,NA,NA,NA
CC,GO:0005795,Golgi stack,NA,0.017110835,0.026930829,NA,NA,NA
MF,GO:0032451,demethylase activity,NA,0.017586687,NA,NA,NA,0.019122009
CC,GO:0097038,perinuclear endoplasmic reticulum,NA,0.018348898,NA,NA,NA,NA
BP,GO:0006635,fatty acid beta-oxidation,NA,0.018385174,NA,0.038297445,0.030995469,NA
BP,GO:0051338,regulation of transferase activity,NA,0.018385174,0.032077627,NA,NA,NA
BP,GO:0051899,membrane depolarization,NA,0.018385174,NA,NA,NA,NA
BP,GO:0055074,calcium ion homeostasis,NA,0.018465103,0.016659221,NA,NA,NA
MF,GO:0015278,intracellularly gated calcium channel activity,NA,0.018732846,NA,NA,NA,NA
MF,GO:0005245,voltage-gated calcium channel activity,NA,0.018755294,0.033854865,NA,NA,NA
MF,GO:0030594,neurotransmitter receptor activity,NA,0.019061741,NA,NA,NA,NA
MF,GO:0008373,sialyltransferase activity,NA,0.020332378,0.028323739,NA,NA,NA
BP,GO:0031400,negative regulation of protein modification process,NA,0.02046458,NA,NA,NA,NA
BP,GO:0035725,sodium ion transmembrane transport,NA,0.020547123,0.001085883,NA,NA,NA
BP,GO:0030148,sphingolipid biosynthetic process,NA,0.021334042,NA,NA,NA,NA
BP,GO:0060973,cell migration involved in heart development,NA,0.021912545,NA,NA,NA,NA
BP,GO:0007034,vacuolar transport,NA,0.022050936,NA,NA,NA,NA
BP,GO:0016482,cytosolic transport,NA,0.022236066,NA,NA,NA,NA
CC,GO:0044295,axonal growth cone,NA,0.022763705,0.020207251,NA,NA,NA
MF,GO:0099094,ligand-gated monoatomic cation channel activity,NA,0.022860615,NA,NA,NA,NA
MF,GO:0070679,"inositol 1,4,5 trisphosphate binding",NA,0.023232579,NA,NA,NA,NA
MF,GO:0099604,ligand-gated calcium channel activity,NA,0.023232579,NA,NA,NA,NA
MF,GO:0016757,glycosyltransferase activity,NA,0.023319361,0.019848137,NA,NA,NA
BP,GO:0008333,endosome to lysosome transport,NA,0.024400716,NA,NA,NA,NA
BP,GO:0098609,cell-cell adhesion,NA,0.025735239,0.001120399,NA,NA,NA
BP,GO:0001839,neural plate morphogenesis,NA,0.026013561,NA,NA,NA,NA
BP,GO:0003197,endocardial cushion development,NA,0.026013561,NA,NA,NA,NA
BP,GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation",NA,0.026013561,NA,NA,NA,NA
BP,GO:0038179,neurotrophin signaling pathway,NA,0.026013561,NA,NA,NA,NA
BP,GO:0045299,otolith mineralization,NA,0.026013561,NA,NA,NA,NA
MF,GO:0019887,protein kinase regulator activity,NA,0.027292062,NA,NA,NA,NA
BP,GO:0051209,release of sequestered calcium ion into cytosol,NA,0.027375925,NA,NA,NA,NA
BP,GO:0042325,regulation of phosphorylation,NA,0.027943702,NA,NA,NA,NA
MF,GO:0061608,nuclear import signal receptor activity,NA,0.028333124,NA,NA,NA,NA
BP,GO:0006479,protein methylation,NA,0.028643576,NA,NA,NA,NA
BP,GO:0008213,protein alkylation,NA,0.028643576,NA,NA,NA,NA
MF,GO:0019207,kinase regulator activity,NA,0.029476537,NA,NA,NA,NA
BP,GO:1904951,positive regulation of establishment of protein localization,NA,0.029926406,NA,NA,NA,NA
CC,GO:0005777,peroxisome,NA,0.029962058,NA,NA,NA,NA
CC,GO:0042579,microbody,NA,0.029962058,NA,NA,NA,NA
BP,GO:0065009,regulation of molecular function,NA,0.03054171,NA,NA,NA,0.029938535
BP,GO:0034440,lipid oxidation,NA,0.030556027,NA,NA,NA,NA
BP,GO:0051208,sequestering of calcium ion,NA,0.030588041,NA,NA,NA,NA
BP,GO:0051282,regulation of sequestering of calcium ion,NA,0.030588041,NA,NA,NA,NA
BP,GO:0051283,negative regulation of sequestering of calcium ion,NA,0.030588041,NA,NA,NA,NA
BP,GO:0007163,establishment or maintenance of cell polarity,NA,0.031237958,0.001722495,NA,NA,NA
BP,GO:0006631,fatty acid metabolic process,NA,0.031917421,NA,0.010807654,0.002558517,NA
BP,GO:0050790,regulation of catalytic activity,NA,0.031917421,NA,NA,NA,0.046957568
BP,GO:0070201,regulation of establishment of protein localization,NA,0.032467447,NA,NA,NA,NA
MF,GO:0016868,intramolecular phosphotransferase activity,NA,0.03254445,NA,NA,NA,NA
BP,GO:0018279,protein N-linked glycosylation via asparagine,NA,0.032885707,NA,NA,NA,NA
CC,GO:0016471,vacuolar proton-transporting V-type ATPase complex,NA,0.033380754,NA,NA,NA,NA
BP,GO:0007274,neuromuscular synaptic transmission,NA,0.034000135,NA,NA,NA,NA
BP,GO:0008090,retrograde axonal transport,NA,0.034000135,NA,NA,NA,NA
BP,GO:0098900,regulation of action potential,NA,0.034000135,NA,NA,NA,NA
MF,GO:0005244,voltage-gated monoatomic ion channel activity,NA,0.03426392,NA,NA,NA,NA
CC,GO:0034706,sodium channel complex,NA,0.034768445,0.015701988,NA,NA,NA
CC,GO:0035267,NuA4 histone acetyltransferase complex,NA,0.034768445,NA,0.006299139,NA,NA
CC,GO:0043189,H4/H2A histone acetyltransferase complex,NA,0.034768445,NA,0.006299139,NA,NA
MF,GO:0046332,SMAD binding,NA,0.034900897,NA,NA,NA,NA
MF,GO:0140142,nucleocytoplasmic carrier activity,NA,0.035576233,NA,NA,NA,NA
BP,GO:0032787,monocarboxylic acid metabolic process,NA,0.035916368,NA,6.53425e-4,0.017083505,NA
BP,GO:0009067,aspartate family amino acid biosynthetic process,NA,0.035929333,NA,NA,NA,NA
BP,GO:0010458,exit from mitosis,NA,0.035929333,NA,NA,NA,NA
BP,GO:0032786,"positive regulation of DNA-templated transcription, elongation",NA,0.035929333,NA,NA,NA,NA
BP,GO:0043001,Golgi to plasma membrane protein transport,NA,0.035929333,NA,NA,NA,NA
BP,GO:0043114,regulation of vascular permeability,NA,0.035929333,NA,NA,NA,NA
BP,GO:0060974,cell migration involved in heart formation,NA,0.035929333,NA,NA,NA,NA
MF,GO:0043178,alcohol binding,NA,0.035947772,NA,NA,NA,NA
MF,GO:0015081,sodium ion transmembrane transporter activity,NA,0.036544816,2.85e-5,NA,NA,NA
BP,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,NA,0.036595479,0.014189519,NA,NA,NA
BP,GO:0035023,regulation of Rho protein signal transduction,NA,0.037430169,NA,NA,0.005403159,NA
BP,GO:0051651,maintenance of location in cell,NA,0.037449113,NA,NA,NA,NA
MF,GO:0030295,protein kinase activator activity,NA,0.037617864,NA,NA,NA,NA
BP,GO:0008589,regulation of smoothened signaling pathway,NA,0.03774925,NA,NA,0.034772966,NA
MF,GO:0003777,microtubule motor activity,NA,0.038993838,NA,NA,NA,NA
CC,GO:0032590,dendrite membrane,NA,0.039798847,NA,NA,NA,NA
CC,GO:0034451,centriolar satellite,NA,0.039798847,NA,NA,NA,NA
MF,GO:0004435,phosphatidylinositol phospholipase C activity,NA,0.040380177,0.004813533,NA,NA,NA
MF,GO:0004629,phospholipase C activity,NA,0.040380177,0.004813533,NA,NA,NA
BP,GO:0098661,inorganic anion transmembrane transport,NA,0.040430037,NA,NA,NA,NA
MF,GO:0016917,GABA receptor activity,NA,0.040710369,NA,NA,NA,NA
BP,GO:0048484,enteric nervous system development,NA,0.040942573,NA,NA,NA,NA
CC,GO:0031985,Golgi cisterna,NA,0.040970355,0.023439943,NA,NA,NA
BP,GO:0043549,regulation of kinase activity,NA,0.041071394,0.045312395,NA,NA,NA
BP,GO:0045859,regulation of protein kinase activity,NA,0.041071394,0.045312395,NA,NA,NA
BP,GO:0051262,protein tetramerization,NA,0.041071394,NA,NA,NA,NA
MF,GO:0019209,kinase activator activity,NA,0.041078824,NA,NA,NA,NA
MF,GO:0015280,ligand-gated sodium channel activity,NA,0.041290301,NA,NA,NA,NA
BP,GO:0006898,receptor-mediated endocytosis,NA,0.042356525,NA,NA,NA,NA
MF,GO:0016758,hexosyltransferase activity,NA,0.042490877,0.017953008,NA,NA,NA
BP,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,NA,0.042575517,NA,NA,NA,NA
BP,GO:0010594,regulation of endothelial cell migration,NA,0.042575517,NA,NA,NA,NA
BP,GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",NA,0.043100864,NA,NA,NA,NA
BP,GO:0006000,fructose metabolic process,NA,0.043100864,NA,NA,0.041167992,NA
BP,GO:0035999,tetrahydrofolate interconversion,NA,0.043100864,NA,NA,NA,NA
BP,GO:0038203,TORC2 signaling,NA,0.043100864,NA,NA,NA,NA
BP,GO:0002027,regulation of heart rate,NA,0.043300999,NA,NA,NA,NA
BP,GO:0006541,glutamine metabolic process,NA,0.043300999,NA,NA,NA,NA
BP,GO:0007215,glutamate receptor signaling pathway,NA,0.043300999,NA,NA,NA,NA
BP,GO:0019933,cAMP-mediated signaling,NA,0.043300999,0.01870373,NA,NA,NA
MF,GO:0052745,inositol phosphate phosphatase activity,NA,0.046269907,NA,NA,NA,NA
BP,GO:0060485,mesenchyme development,NA,0.047473077,NA,NA,NA,NA
BP,GO:0098703,calcium ion import across plasma membrane,NA,0.049169997,NA,NA,NA,NA
BP,GO:1902656,calcium ion import into cytosol,NA,0.049169997,NA,NA,NA,NA
BP,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,NA,0.049865518,NA,NA,NA,0.032497454
BP,GO:0048168,regulation of neuronal synaptic plasticity,NA,0.049865518,NA,NA,NA,NA
BP,GO:0050921,positive regulation of chemotaxis,NA,0.049865518,NA,NA,NA,NA
BP,GO:2001056,positive regulation of cysteine-type endopeptidase activity,NA,0.049865518,NA,NA,NA,0.032497454
BP,GO:0090162,establishment of epithelial cell polarity,NA,NA,4.3441e-4,0.012834028,NA,NA
BP,GO:0060122,inner ear receptor cell stereocilium organization,NA,NA,5.62333e-4,NA,NA,NA
BP,GO:0008037,cell recognition,NA,NA,0.002137432,NA,NA,NA
MF,GO:0015370,solute:sodium symporter activity,NA,NA,0.00332713,NA,NA,NA
MF,GO:0051139,metal cation:proton antiporter activity,NA,NA,0.003960443,NA,NA,NA
BP,GO:0030855,epithelial cell differentiation,NA,NA,0.004163511,NA,NA,NA
BP,GO:0050885,neuromuscular process controlling balance,NA,NA,0.004480803,NA,NA,NA
BP,GO:0050954,sensory perception of mechanical stimulus,NA,NA,0.004748146,NA,NA,NA
BP,GO:0002064,epithelial cell development,NA,NA,0.004813877,NA,NA,NA
BP,GO:0009612,response to mechanical stimulus,NA,NA,0.004836926,NA,NA,NA
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,0.00500226,NA,NA,NA
BP,GO:0048706,embryonic skeletal system development,NA,NA,0.005320206,NA,0.016632681,0.046957568
BP,GO:0046330,positive regulation of JNK cascade,NA,NA,0.005897222,NA,NA,NA
BP,GO:0031112,positive regulation of microtubule polymerization or depolymerization,NA,NA,0.005999191,NA,NA,NA
BP,GO:0060088,auditory receptor cell stereocilium organization,NA,NA,0.005999191,NA,NA,NA
MF,GO:0022853,active monoatomic ion transmembrane transporter activity,NA,NA,0.006586718,NA,NA,NA
MF,GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity",NA,NA,0.006871534,NA,NA,NA
MF,GO:0022821,solute:potassium antiporter activity,NA,NA,0.006871534,NA,NA,NA
BP,GO:0033619,membrane protein proteolysis,NA,NA,0.007007638,NA,NA,NA
BP,GO:0046785,microtubule polymerization,NA,NA,0.007581368,NA,NA,NA
MF,GO:0015294,solute:monoatomic cation symporter activity,NA,NA,0.007756514,NA,NA,NA
BP,GO:0003382,epithelial cell morphogenesis,NA,NA,0.007789108,NA,NA,NA
BP,GO:0045198,establishment of epithelial cell apical/basal polarity,NA,NA,0.007789108,NA,NA,NA
BP,GO:0048703,embryonic viscerocranium morphogenesis,NA,NA,0.008074749,NA,0.014990185,0.02610851
BP,GO:0001503,ossification,NA,NA,0.008522943,0.007862136,NA,NA
BP,GO:0042491,inner ear auditory receptor cell differentiation,NA,NA,0.008551539,NA,NA,NA
BP,GO:0001578,microtubule bundle formation,NA,NA,0.009415091,NA,0.032880509,NA
BP,GO:0007286,spermatid development,NA,NA,0.009604288,NA,NA,NA
BP,GO:0048515,spermatid differentiation,NA,NA,0.009604288,NA,NA,NA
BP,GO:0090307,mitotic spindle assembly,NA,NA,0.009604288,NA,NA,NA
BP,GO:0006376,mRNA splice site recognition,NA,NA,0.009623322,NA,NA,NA
MF,GO:0015386,potassium:proton antiporter activity,NA,NA,0.009710687,NA,NA,NA
BP,GO:0007288,sperm axoneme assembly,NA,NA,0.009860744,NA,NA,NA
BP,GO:0035089,establishment of apical/basal cell polarity,NA,NA,0.009860744,NA,NA,NA
BP,GO:0061162,establishment of monopolar cell polarity,NA,NA,0.009860744,NA,NA,NA
BP,GO:0061339,establishment or maintenance of monopolar cell polarity,NA,NA,0.009860744,NA,NA,NA
MF,GO:0047555,"3',5'-cyclic-GMP phosphodiesterase activity",NA,NA,0.01092841,NA,NA,NA
BP,GO:0007020,microtubule nucleation,NA,NA,0.011139607,NA,NA,NA
CC,GO:0048787,presynaptic active zone membrane,NA,NA,0.011692595,NA,NA,NA
MF,GO:0140828,metal cation:monoatomic cation antiporter activity,NA,NA,0.011703462,NA,NA,NA
BP,GO:0030859,polarized epithelial cell differentiation,NA,NA,0.012222105,NA,NA,NA
MF,GO:0016922,nuclear receptor binding,NA,NA,0.01256078,NA,NA,NA
BP,GO:0043534,blood vessel endothelial cell migration,NA,NA,0.013289235,0.028982836,NA,NA
BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,0.01338123,NA,NA,NA
BP,GO:0060117,auditory receptor cell development,NA,NA,0.016579741,NA,NA,NA
BP,GO:0098771,inorganic ion homeostasis,NA,NA,0.017004809,NA,NA,NA
CC,GO:0071782,endoplasmic reticulum tubular network,NA,NA,0.017077912,NA,NA,NA
BP,GO:0031114,regulation of microtubule depolymerization,NA,NA,0.017836199,NA,NA,NA
CC,GO:0030175,filopodium,NA,NA,0.018296285,NA,NA,NA
CC,GO:0005942,phosphatidylinositol 3-kinase complex,NA,NA,0.020207251,NA,NA,NA
MF,GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity",NA,NA,0.020606791,NA,NA,NA
BP,GO:0007019,microtubule depolymerization,NA,NA,0.020988722,NA,NA,NA
BP,GO:0002093,auditory receptor cell morphogenesis,NA,NA,0.021095612,NA,NA,NA
BP,GO:0006509,membrane protein ectodomain proteolysis,NA,NA,0.021095612,NA,NA,NA
BP,GO:0030534,adult behavior,NA,NA,0.021095612,NA,NA,NA
BP,GO:0035476,angioblast cell migration,NA,NA,0.021095612,NA,NA,NA
BP,GO:0050853,B cell receptor signaling pathway,NA,NA,0.021095612,NA,NA,NA
BP,GO:0002768,immune response-regulating cell surface receptor signaling pathway,NA,NA,0.021167494,NA,NA,NA
BP,GO:0060113,inner ear receptor cell differentiation,NA,NA,0.022753591,NA,NA,NA
BP,GO:0048762,mesenchymal cell differentiation,NA,NA,0.023142955,NA,NA,0.026909827
BP,GO:0050851,antigen receptor-mediated signaling pathway,NA,NA,0.023437498,NA,NA,NA
CC,GO:0002102,podosome,NA,NA,0.023629918,NA,NA,NA
CC,GO:0015030,Cajal body,NA,NA,0.023629918,0.038512725,NA,NA
MF,GO:0015293,symporter activity,NA,NA,0.024049243,NA,NA,NA
CC,GO:0030672,synaptic vesicle membrane,NA,NA,0.024881669,NA,NA,NA
CC,GO:0099501,exocytic vesicle membrane,NA,NA,0.024881669,NA,NA,NA
BP,GO:0030282,bone mineralization,NA,NA,0.026161113,0.008864937,NA,NA
BP,GO:0021915,neural tube development,NA,NA,0.026512226,NA,NA,NA
CC,GO:0019897,extrinsic component of plasma membrane,NA,NA,0.026930829,NA,NA,NA
CC,GO:0005801,cis-Golgi network,NA,NA,0.027345876,NA,NA,NA
BP,GO:0007605,sensory perception of sound,NA,NA,0.027985265,NA,NA,NA
BP,GO:0050905,neuromuscular process,NA,NA,0.028491647,NA,NA,NA
BP,GO:0007413,axonal fasciculation,NA,NA,0.028524223,NA,NA,NA
BP,GO:0106030,neuron projection fasciculation,NA,NA,0.028524223,NA,NA,NA
BP,GO:0048863,stem cell differentiation,NA,NA,0.028791437,0.003320047,0.008680144,NA
BP,GO:0048871,multicellular organismal-level homeostasis,NA,NA,0.028791437,0.003547722,0.011108907,0.011797989
BP,GO:0021955,central nervous system neuron axonogenesis,NA,NA,0.028835439,NA,NA,NA
BP,GO:0001525,angiogenesis,NA,NA,0.028843012,0.003833048,0.022267732,NA
MF,GO:0022804,active transmembrane transporter activity,NA,NA,0.029223611,NA,NA,NA
BP,GO:0014033,neural crest cell differentiation,NA,NA,0.031400928,NA,NA,0.013271368
BP,GO:0140029,exocytic process,NA,NA,0.031880589,NA,NA,NA
MF,GO:0045504,dynein heavy chain binding,NA,NA,0.032226973,NA,NA,NA
CC,GO:0005881,cytoplasmic microtubule,NA,NA,0.03254503,NA,NA,NA
BP,GO:0051225,spindle assembly,NA,NA,0.033954011,NA,NA,0.045320034
BP,GO:0014032,neural crest cell development,NA,NA,0.034774136,NA,NA,0.025199891
BP,GO:0048864,stem cell development,NA,NA,0.034774136,NA,NA,0.025199891
BP,GO:0001841,neural tube formation,NA,NA,0.034911548,NA,NA,NA
