ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0003777,microtubule motor activity,9/1377,69/20660,0.130434783,1.956995359,2.127795935,0.038993838,0.283144447,0.25404236,cenpe/dync2h1/kif2c/kif21a/kif1aa/kifc3/kif2a/kif5c/kif1b,9
CC,GO:0032590,dendrite membrane,5/1440,29/21740,0.172413793,2.602969349,2.30057985,0.039798847,0.252612126,0.222268414,shisa7b/gabrg2/gabrg1/clcn2b/clcn2a,5
CC,GO:0034451,centriolar satellite,5/1440,29/21740,0.172413793,2.602969349,2.30057985,0.039798847,0.252612126,0.222268414,dzip1/bbs5/ofd1/cep290/mib1,5
MF,GO:0004435,phosphatidylinositol phospholipase C activity,4/1377,20/20660,0.2,3.000726216,2.392115426,0.040380177,0.286896402,0.257408683,plcb4a/plcb3/plcd3a/plch1,4
MF,GO:0004629,phospholipase C activity,4/1377,20/20660,0.2,3.000726216,2.392115426,0.040380177,0.286896402,0.257408683,plcb4a/plcb3/plcd3a/plch1,4
BP,GO:0098661,inorganic anion transmembrane transport,12/1425,101/21022,0.118811881,1.752746222,2.044830779,0.040430037,0.455468349,0.431479323,gabrg2/gabrg1/slc5a5/slc12a7b/slc12a2/gabrb4/slc37a4b/gabrd/glrbb/slc26a11/slc25a3b/clcn2a,12
MF,GO:0016917,GABA receptor activity,5/1377,29/20660,0.172413793,2.586832945,2.285095659,0.040710369,0.286896402,0.257408683,gabbr1b/gabrg2/gabrg1/gabrb4/gabrd,5
BP,GO:0031017,exocrine pancreas development,8/1425,58/21022,0.137931034,2.034797338,2.12799962,0.040942573,0.455468349,0.431479323,tcf7l2/ppp1r12a/jag2b/apc/smo/trpm7/nup54/ddx46,8
BP,GO:0035272,exocrine system development,8/1425,58/21022,0.137931034,2.034797338,2.12799962,0.040942573,0.455468349,0.431479323,tcf7l2/ppp1r12a/jag2b/apc/smo/trpm7/nup54/ddx46,8
BP,GO:0048484,enteric nervous system development,8/1425,58/21022,0.137931034,2.034797338,2.12799962,0.040942573,0.455468349,0.431479323,tfap2b/dennd3a/ryr3/nrg1/elp1/dscama/slc8a1b/tbata,8
CC,GO:0031985,Golgi cisterna,10/1440,81/21740,0.12345679,1.863854595,2.074516842,0.040970355,0.256485648,0.22567665,st3gal1l3/st6gal1/b4galnt4a/hace1/b4galt1l/golga2/slc30a5/galnt1/b4galt5/st6gal2a,10
BP,GO:0031122,cytoplasmic microtubule organization,6/1425,38/21022,0.157894737,2.329307479,2.211629783,0.041071394,0.455468349,0.431479323,slain1a/ccdc88aa/camsap2a/katna1/clip1a/hook1,6
BP,GO:0043549,regulation of kinase activity,6/1425,38/21022,0.157894737,2.329307479,2.211629783,0.041071394,0.455468349,0.431479323,yes1/aida/zfyve28/traf4a/fyna/ccny,6
BP,GO:0045859,regulation of protein kinase activity,6/1425,38/21022,0.157894737,2.329307479,2.211629783,0.041071394,0.455468349,0.431479323,yes1/aida/zfyve28/traf4a/fyna/ccny,6
BP,GO:0051262,protein tetramerization,6/1425,38/21022,0.157894737,2.329307479,2.211629783,0.041071394,0.455468349,0.431479323,evlb/stk3/trpm7/trpm3/samhd1/nudt21,6
MF,GO:0019209,kinase activator activity,8/1377,59/20660,0.13559322,2.034390655,2.126183583,0.041078824,0.286896402,0.257408683,ccnk/gprc5bb/parp6b/camk1b/ccnt2a/nrg1/rictorb/si:dkey-220o5.5,8
MF,GO:0015280,ligand-gated sodium channel activity,3/1377,12/20660,0.25,3.750907771,2.547193716,0.041290301,0.286896402,0.257408683,asic4a/asic1c/asic2,3
BP,GO:0030705,cytoskeleton-dependent intracellular transport,14/1425,124/21022,0.112903226,1.665580079,2.004463337,0.041361364,0.455468349,0.431479323,ttc21b/ift88/mak/dync2h1/ccdc186/ccdc88aa/mapk8ip3/kif1aa/si:ch211-235m3.5/kif5c/dync1i1b/kif1b/rhot1b/hook1,14
BP,GO:0046474,glycerophospholipid biosynthetic process,14/1425,124/21022,0.112903226,1.665580079,2.004463337,0.041361364,0.455468349,0.431479323,efr3bb/pip5k1ca/impa1/pip4k2aa/gpat3/pi4kb/cdipt/dgkaa/slc30a5/cds1/dpm1/pigv/pcyt2/etnk2,14
MF,GO:0016853,isomerase activity,20/1377,198/20660,0.101010101,1.515518291,1.947766766,0.041676434,0.287104326,0.257595236,mmut/ddx11/pdia3/lss/eci2/pgm2l1/enox1/pgm2/top1a/fkbp5/pdia8/dkc1/ech1/katna1/fkbp10a/ppib/pmm2/galm/hyi/rpusd4,20
BP,GO:0006898,receptor-mediated endocytosis,13/1425,113/21022,0.115044248,1.697165036,2.003768343,0.042356525,0.455468349,0.431479323,si:ch211-200p22.4/dnm1b/picalma/clta/snap91a/dnm3a/itsn1/mib2/gak/mib1/snap91b/cacng2a/bmp2k,13
BP,GO:0001755,neural crest cell migration,15/1425,136/21022,0.110294118,1.627089783,1.978385246,0.042476174,0.455468349,0.431479323,sema4ga/hif1ab/pdgfra/nrp1a/pak1/sh3pxd2aa/radil/pax6b/rcc2/hdac4/nrg1/disc1/pard3ab/sema4c/wdr11,15
MF,GO:0016758,hexosyltransferase activity,26/1377,273/20660,0.095238095,1.428917246,1.906393234,0.042490877,0.290234293,0.260403499,pomt2/tmtc2a/uggt2/alg6/b4galnt4a/ugt8/tmtc4/b4galt1l/alg1/mgat4b/zgc:92907/tmtc1/galnt18b/dpm1/pigv/galnt1/aars2/stt3b/pomt1/gbgt1l4/ugcg/b4galt5/colgalt1b/tmtc2a/gtdc1/pygl,26
BP,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,4/1425,20/21022,0.2,2.95045614,2.353207271,0.042575517,0.455468349,0.431479323,dedd/tnfrsfa/hdr/rnf34a,4
BP,GO:0010594,regulation of endothelial cell migration,4/1425,20/21022,0.2,2.95045614,2.353207271,0.042575517,0.455468349,0.431479323,nrp1a/prkcz/reck/abl1,4
BP,GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",3/1425,12/21022,0.25,3.688070175,2.511640753,0.043100864,0.455468349,0.431479323,zbtb8os/tsen54/tsen2,3
BP,GO:0006000,fructose metabolic process,3/1425,12/21022,0.25,3.688070175,2.511640753,0.043100864,0.455468349,0.431479323,pfkfb4b/pfkfb3/khk,3
