ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",34/1371,238/18773,0.142857143,1.956132125,4.166625922,0.000128578,0.031735498,0.029997536,wdr83/pqbp1/wbp4/lsm7/prmt7/snrpa/u2af1/ncbp2/larp7/snrpe/rbm4.1/snrpa1/sf3b2/hnrnpa3/srsf1b/snrpb/prpf31/magoh/isy1/sf3a3/cwf19l1/snrpd3l/rsrc1/bud31/slu7/snrpc/arglu1a/snrnp35/sart1/gemin5/syf2/tfip11/yju2/clns1a,34
BP,GO:0000398,"mRNA splicing, via spliceosome",34/1371,238/18773,0.142857143,1.956132125,4.166625922,0.000128578,0.031735498,0.029997536,wdr83/pqbp1/wbp4/lsm7/prmt7/snrpa/u2af1/ncbp2/larp7/snrpe/rbm4.1/snrpa1/sf3b2/hnrnpa3/srsf1b/snrpb/prpf31/magoh/isy1/sf3a3/cwf19l1/snrpd3l/rsrc1/bud31/slu7/snrpc/arglu1a/snrnp35/sart1/gemin5/syf2/tfip11/yju2/clns1a,34
CC,GO:0005730,nucleolus,37/1428,265/19331,0.139622642,1.890087733,4.12043515,0.000136014,0.005650771,0.005089143,tsr1/nop10/mphosph10/capn3b/rrp7a/bud23/apex1/polr2f/ftsj3/pop7/polr1e/rbm28/rps27.1/npm1a/rrp36/mrto4/grwd1/parp2/nop16/c1d/zgc:103759/exosc9/ddx54/tbl3/prkrip1/rps13/nhp2/ngdn/rpp38/cdkn2aip/utp6/polr1h/mak16/prkdc/npm3/polr1f/urb1,37
BP,GO:0015718,monocarboxylic acid transport,16/1371,80/18773,0.2,2.738584974,4.373970307,0.000186274,0.042144595,0.039836589,slc10a4/abcc4/slco1d1/crabp1a/fabp3/slc16a12a/fabp7a/rbp1.1/mfsd2ab/fabp4a/abcb11b/slco2b1/pla2g1b/slc16a3a/slc16a1a/slc27a6,16
MF,GO:0051087,protein-folding chaperone binding,13/1349,57/18430,0.228070175,3.115888312,4.49614536,0.000191523,0.039935022,0.038737769,pacrg/dnajb5/pfdn6/ptges3a/ahsa1b/hspe1/dnajb1a/bag1/st13/grpel1/dnajb12a/zgc:56596/dnajb9a,13
CC,GO:0120114,Sm-like protein family complex,14/1428,64/19331,0.21875,2.961243873,4.438453384,0.00019453,0.007408354,0.00667204,lsm7/snrpa/snrpe/lsm1/snrpa1/sf3b2/snrpb/prpf31/snrpd3l/snrpc/cd2bp2/sart1/gemin5/clns1a,14
BP,GO:0006397,mRNA processing,43/1371,334/18773,0.128742515,1.762861585,3.948432476,0.00020284,0.042362351,0.04004242,wdr83/pqbp1/wbp4/lsm7/prmt7/snrpa/u2af1/ncbp2/larp7/snrpe/lsm1/rbm4.1/ptbp1a/snrpa1/sf3b2/hnrnpa3/srsf1b/snrpb/prpf31/magoh/isy1/sf3a3/cwf19l1/cdk12/cmtr2/snrpd3l/rsrc1/bud31/slu7/snrpc/prkrip1/arglu1a/snrnp35/fip1l1b/sart1/gpatch1/gemin5/syf2/tfip11/rbm47/yju2/clns1a/cstf1,43
CC,GO:0019866,organelle inner membrane,38/1428,283/19331,0.134275618,1.817704467,3.913650341,0.000250224,0.007847641,0.007067667,cox4i2/slc25a48/hccsb/timm50/slc25a25a/chchd6a/ndufb10/cox8a/maip1/oxa1l/dhodh/coq10b/uqcrq/uqcc6/micos10/slc25a18/smdt1b/uqcr10/cyc1/afg3l2/yme1l1a/adck1/slc25a19/grpel1/coa3a/uqcrb/tmem177/mpv17l2/atp5mea/coq5/uqcrh/atp5f1d/immp2l/cox6a2/timm22/ndufa12/atp5meb/ndufc2,38
CC,GO:0000315,organellar large ribosomal subunit,10/1428,37/19331,0.27027027,3.658679688,4.571648879,0.000257581,0.007847641,0.007067667,mrpl43/mrpl44/mrpl58/mrpl22/mrpl47/mrpl10/mrpl41/mrpl52/mrpl34/mrpl17,10
CC,GO:0005762,mitochondrial large ribosomal subunit,10/1428,37/19331,0.27027027,3.658679688,4.571648879,0.000257581,0.007847641,0.007067667,mrpl43/mrpl44/mrpl58/mrpl22/mrpl47/mrpl10/mrpl41/mrpl52/mrpl34/mrpl17,10
