ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0005839,proteasome core complex,14/2610,23/19331,0.608695652,4.50831251,6.651178485,1.59E-07,1.30E-05,1.18E-05,psmb12/psma6l/psmb10/psmb7/psmb5/psmb8a/psmb13a/psmb9a/psmb6/psma2a/psmb4/psma6b/psma4/psma8,14
BP,GO:0140014,mitotic nuclear division,38/2545,119/18773,0.319327731,2.355496855,5.874253378,1.92E-07,3.40E-05,3.01E-05,kif11/ccnb1/mki67/smc2/aurkb/ndel1b/prc1b/mad2l1/ankle2/cdca8/nusap1/ttk/ncapg/ncaph/cenpi/clasp1a/bub1bb/ndc80/nuf2/ncapd3/pdcd2/kif23/kntc1/ska3/zw10/kif18a/racgap1/anapc15/zwilch/map9/smc4/anapc5/knstrn/ncapd2/cenpk/ska1/swap70b/si:ch211-161h7.4,38
BP,GO:0043648,dicarboxylic acid metabolic process,21/2545,49/18773,0.428571429,3.161324726,5.999090483,4.68E-07,7.85E-05,6.94E-05,glud1b/zgc:92040/kmo/mthfd1l/pck1/aldh4a1/prodha/acmsd/me1/got1/kynu/amdhd1/got2a/gls2a/mdh1aa/aldh1l2/dglucy/dhfr/ftcd/d2hgdh/me2,21
BP,GO:0055086,nucleobase-containing small molecule metabolic process,94/2545,423/18773,0.222222222,1.639205414,5.265738167,6.05E-07,9.61E-05,8.50E-05,enpp1/ampd2b/gck/urahb/aldh6a1/prkag2b/gpd1b/aclya/kmo/ido1/dnph1/aprt/pde4ca/pnp5a/gart/elovl6/pdk2a/umps/impdh1a/hkdc1/acsl3b/gapdh/pdk4/slc38a9/adka/atp5pf/pde4bb/pank1b/urad/rrm1/itpa/entpd1/nt5c2b/tyms/kars1/adcy6a/zgc:103586/atp5pd/ak4/npr1a/nudt17/kynu/gfpt2/nnt/atp6v1ba/ak2/atp6v1ab/atp5mea/aldob/gfpt1/hmgcra/acot7/fitm2/cdab/idh1/acot20/dctd/papss2b/atp5meb/nampt1/hk2/prpsap2/macrod1/acacb/mlycd/dpys/oard1/acot11a/hint1/atpsckmt/eno1a/pdk1/cdadc1/aspdh/mdh1aa/nme2b.1/gucy1a2/nudt4a/pdhb/pmm2/mtap/ugp2b/tpi1b/nadkb/pgls/uap1l1/cmpk2/atp5pb/atp5mc1/g6pd/pklr/hprt1/dhodh/pgm3,94
CC,GO:0019774,"proteasome core complex, beta-subunit complex",9/2610,11/19331,0.818181818,6.059874608,6.631894262,6.26E-07,4.37E-05,3.99E-05,psmb12/psmb10/psmb7/psmb5/psmb8a/psmb13a/psmb9a/psmb6/psmb4,9
BP,GO:1901605,alpha-amino acid metabolic process,45/2545,161/18773,0.279503106,2.061733517,5.357949429,1.10E-06,0.00016559,0.000146361,glud1b/agxtb/th2/psph/zgc:92040/aldh6a1/qdpra/tha1/agxta/kmo/ido1/asrgl1/aldh4a1/sardh/fah/hgd/prodha/agmat/aldh18a1/ggh/gstz1/pah/nos1/ttc36/gcat/sephs3/got1/kynu/gfpt2/amdhd1/glulb/gfpt1/got2a/gls2a/bhmt/psat1/zgc:162816/cbsb/mtap/dglucy/ftcd/arg1/gcshb/ddo/thnsl2,45
BP,GO:0019395,fatty acid oxidation,20/2545,48/18773,0.416666667,3.073510151,5.696164697,1.51E-06,0.00019685,0.000173991,cpt1b/eci1/acadl/hacl1/cpt1ab/hadhab/phyh/cpt2/crot/acad11/acaa1/hadh/etfb/abcd1/acaa2/acads/ech1/decr1/echdc2/echs1,20
BP,GO:0000280,nuclear division,47/2545,173/18773,0.271676301,2.003999682,5.253718769,1.55E-06,0.00019685,0.000173991,kif11/ccnb1/mki67/top2a/smc2/aurkb/ndel1b/prc1b/mad2l1/ankle2/espl1/cdca8/spire1a/nusap1/ttk/ncapg/ncaph/cenpi/clasp1a/bub1bb/ndc80/nuf2/ncapd3/pdcd2/pttg1/slx4/kif23/kntc1/cenpx/ska3/mos/zw10/rad51/kif18a/racgap1/anapc15/zwilch/map9/smc4/apoa2/anapc5/knstrn/ncapd2/cenpk/ska1/swap70b/si:ch211-161h7.4,47
BP,GO:0051276,chromosome organization,62/2545,252/18773,0.246031746,1.814834565,5.157083515,1.56E-06,0.00019685,0.000173991,h1-0/si:ch211-103n10.5/mcm5/kif11/ccnb1/top2a/smc2/aurkb/mcm2/prc1b/nasp/mad2l1/zgc:110425/esco2/cdca8/si:dkey-108k21.10/dlgap5/nusap1/ttk/ncapg/ncaph/cenpi/rad50/clasp1a/mcm6/bub1bb/ndc80/nuf2/ncapd3/pttg1/cenph/nop10/kif23/kntc1/nipblb/cenpx/ska3/mos/mcm7/zw10/rad51/tert/kif18a/racgap1/anapc15/histh1l2/zwilch/map9/tasorb/smc4/si:dkey-261m9.12/mcm3/anapc5/knstrn/itgb3bp/ncapd2/tnksa/si:ch211-13c6.2/cenpk/ska1/atf7ip/si:ch211-161h7.4,62
BP,GO:0170039,proteinogenic amino acid metabolic process,40/2545,138/18773,0.289855072,2.138094018,5.313976773,1.56E-06,0.00019685,0.000173991,glud1b/agxtb/th2/psph/zgc:92040/qdpra/tha1/agxta/kmo/ido1/asrgl1/aldh4a1/fah/hgd/prodha/aldh18a1/ggh/gstz1/pah/nos1/ttc36/gcat/sephs3/got1/kynu/gfpt2/amdhd1/glulb/gfpt1/got2a/gls2a/bhmt/psat1/cbsb/mtap/dglucy/ftcd/arg1/gcshb/thnsl2,40
