ONTOLOGY,ID,Description,pvalue_ASG_liver_AF,pvalue_ASG_liver_AR,pvalue_ASG_liver_FR,pvalue_DEG_liver_AF,pvalue_DEG_liver_AR,pvalue_DEG_liver_FR
BP,GO:0044242,cellular lipid catabolic process,0.009318929,NA,NA,2.77e-5,5.41e-8,NA
BP,GO:0016236,macroautophagy,0.009745359,NA,NA,NA,0.007234634,NA
BP,GO:0009074,aromatic amino acid family catabolic process,0.009775515,0.004273102,1.38e-5,8.52455e-4,4.35703e-4,NA
BP,GO:0019217,regulation of fatty acid metabolic process,0.01021642,0.033288931,0.047896229,0.048873462,0.044158072,NA
BP,GO:0048645,animal organ formation,0.011198667,NA,NA,NA,NA,NA
BP,GO:0007411,axon guidance,0.011541224,0.012298855,NA,NA,NA,NA
BP,GO:0097485,neuron projection guidance,0.011541224,0.012298855,NA,NA,NA,NA
BP,GO:0034453,microtubule anchoring,0.011679682,NA,0.016319359,NA,NA,NA
BP,GO:0060729,intestinal epithelial structure maintenance,0.011679682,NA,NA,NA,0.035920704,NA
BP,GO:0061572,actin filament bundle organization,0.012278346,NA,NA,NA,NA,NA
BP,GO:0006900,vesicle budding from membrane,0.01229599,0.020645398,NA,NA,NA,NA
BP,GO:0051648,vesicle localization,0.012520237,NA,NA,NA,NA,NA
BP,GO:0006650,glycerophospholipid metabolic process,0.013110215,0.005056701,NA,NA,NA,NA
BP,GO:0006914,autophagy,0.013568354,NA,NA,NA,0.006115167,NA
BP,GO:0061919,process utilizing autophagic mechanism,0.013568354,NA,NA,NA,0.006115167,NA
BP,GO:0030277,maintenance of gastrointestinal epithelium,0.014452169,NA,NA,NA,NA,NA
BP,GO:0042537,benzene-containing compound metabolic process,0.014452169,NA,4.79e-5,0.001831739,0.01579676,NA
BP,GO:0071677,positive regulation of mononuclear cell migration,0.014452169,NA,0.0188487,NA,NA,NA
BP,GO:0048701,embryonic cranial skeleton morphogenesis,0.0148771,NA,0.016376491,0.001967067,0.034351059,0.015063614
BP,GO:0072521,purine-containing compound metabolic process,0.015426587,0.035066015,0.026561577,3.28327e-4,3.53e-5,8.04579e-4
BP,GO:0006570,tyrosine metabolic process,0.017564488,NA,0.021531115,0.010533559,0.002738884,NA
BP,GO:0046164,alcohol catabolic process,0.017564488,NA,NA,0.024900026,0.006990736,NA
BP,GO:0048918,posterior lateral line nerve development,0.017564488,NA,NA,NA,NA,NA
BP,GO:1903076,regulation of protein localization to plasma membrane,0.017564488,0.010269929,0.021531115,NA,NA,NA
BP,GO:0006605,protein targeting,0.018170022,NA,0.036015948,NA,NA,NA
BP,GO:0044283,small molecule biosynthetic process,0.018594883,NA,NA,7.59e-9,7.47e-9,1.25e-5
BP,GO:0042558,pteridine-containing compound metabolic process,0.01875129,NA,NA,4.17669e-4,1.38303e-4,NA
BP,GO:0036269,swimming behavior,0.01936181,NA,0.023632547,NA,NA,NA
BP,GO:0046474,glycerophospholipid biosynthetic process,0.019627306,0.015344343,NA,NA,NA,NA
BP,GO:0008203,cholesterol metabolic process,0.019627382,NA,NA,NA,0.021243016,1.44e-7
BP,GO:0051656,establishment of organelle localization,0.019706091,0.031403269,0.018404202,0.006276871,0.003737681,NA
BP,GO:0047496,vesicle transport along microtubule,0.020356074,NA,NA,NA,NA,NA
